institution_id,myjkkn_institution_id,course_code,course_name,coe_course_id,action
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP10,ELECTIVE-VI-HIGH PERFORMANCE COMPUTING LAB,b4e9596b-c974-41da-b46e-21a10e90f804,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP11,ELECTIVE-VI-ADVANCED MACHINE LEARNING LAB,f0bfce2a-5a07-4845-973a-4546b46e7110,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAEP12,ELECTIVE-VI-DOT NET PROGRAMMING LAB,5c1eada3-df87-4523-b566-1f88e222c547,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAIN01,INTERNSHIP/INDUSTRIAL ACTIVITY,9848ceeb-d4aa-4150-b575-e0b94d29e083,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCAPR1,PROJECT WORK AND VIVA-VOCE,524a2b36-d83e-49cc-b8f1-7b54e252cd68,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCASP01,SKILL ENHANCEMENT COURSE-LAB: GENERATIVE AI TOOLS,386a4453-a283-4791-9eb5-e7c4e79ec7e8,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHC01,CORE-I-ORGANIC REACTION MECHANISM-I,c67f9a69-2308-4510-ba48-4bf67c0a57e0,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHC02,CORE-II-STRUCTURE AND BONDING IN INORGANIC COMPOUNDS,2ffbcab3-b7ad-44e9-9017-1e584e61bc69,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHC03,CORE-III-ORGANIC REACTION MECHANISM-II,d1288982-ba09-4e65-b201-92c371dcdb41,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHC04,CORE-IV-PHYSICAL CHEMISTRY-I,b634dec5-8b0c-429f-9169-ab17e099f497,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHC05,CORE-V-ORGANIC SYNTHESIS AND PHOTOCHEMISTRY,35970f23-98a8-4bec-900c-96773e83ccfe,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHC06,CORE-VI-COORDINATION CHEMISTRY-I,0554c908-82a3-4f07-bd8c-baf4a37215da,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHC07,CORE-VII-COORDINATION CHEMISTRY-II,f5d74edd-0dce-4153-aee2-b01b8e3247a8,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHC08,CORE-VIII-PHYSICAL CHEMISTRY-II,04c4da64-0843-46e2-93ef-d5f651b8dca5,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHCP01,CORE PRACTICAL-I-ORGANIC CHEMISTRY PRACTICAL,1cce4052-44cf-440f-87e5-2edee2916017,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHCP02,CORE PRACTICAL-II-INORGANIC CHEMISTRY PRACTICAL,15e3a57e-5f90-4c83-a9df-c2293c8bd5be,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHCP03,CORE PRACTICAL-III-PHYSICAL CHEMISTRY PRACTICAL,1e112e64-0f91-4904-90a0-227f62175bda,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHCP04,CORE PRACTICAL-IV-ANALYTICAL INSTRUMENTATION TECHNIQUE PRACTICAL(INDUSTRY ENTERPRENEURSHIP),7b98416a-0a54-4cef-9d72-989961851f23,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHDE03,ELECTIVE-II-ELECTROCHEMISTRY,1a05a739-c53a-4c3a-8a65-330c02985f9d,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE01,ELECTIVE-I-PHARMACEUTICAL CHEMISTRY,429af5e6-1b92-4bd4-b7da-5ff09e5392c4,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE02,ELECTIVE-I-NANOMATERIALS AND NANOTECHNOLOGY,78cf7856-9033-4d30-81bd-aff2e980d097,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE03,ELECTIVE-II: ELECTROCHEMISTRY,7ce1d2d6-f5a3-406f-9555-7b6275d9dca8,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE04,ELECTIVE-II-MOLECULAR SPECTROSCOPY ,9d559485-77a7-4157-9318-a6248243e424,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE05,ELECTIVE-III-MEDICINAL CHEMISTRY,585a9da4-c667-4275-9a8d-294aee3a6ce8,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE06,ELECTIVE-III-GREEN CHEMISTRY,65117e8e-cdb6-43e0-bc28-16f45e52c4c5,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE07,ELECTIVE-IV-BIO INORGANIC CHEMISTRY,f713088f-98b4-4b00-a448-b760e4807085,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE08,ELECTIVE-IV-MATERIAL SCIENCE,69911aef-c192-432e-970f-c18d4e46e537,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE09,ELECTIVE-V-PHARMACOGNOSY AND PHYTOCHEMISTRY,64429dd2-71c9-411d-8525-049034fe1865,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCHE10,ELECTIVE-V-BIOMOLECULES AND HETEROCYCLIC COMPOUNDS5,447018b9-e85e-4bf4-a584-c310d86a15c7,create
